creation_date,update_date,codigo,nombre,vigencia,familia,tipo_plan,concepto
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4830402057,FACTURACION FUNCIONARIOS (2 ANOS),2 ANOS, , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4830402058,FACTURACION QUIPUX PROMOCION (2 ANOS),2 ANOS, , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4830402062,FIRMA ELETRONICA VIGENCIA 3 MESES,3 MESES, , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4840101001,Z1 SECURE MAIL POR CUENTA POR MES, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4850101001,DE 1 A 50 LICENCIAS  PRECIO POR LICENCIA, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4850101002,DE 51 A 100 LICENCIAS PRECIO POR LICENCIA, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4850101003,ILIMITADO PRECIO TOTAL, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4870101001,SOFTWARE ESP, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4870101002,SERVICIO SELLADO DE TIEMPO, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4880108001,SOPORTE SRI Y YO, ,SOPORTE, , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4880101003,SOPORTE CERT. BAJO VOL 3, ,SOPORTE, , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4880102001,SOPORTE CERT. BAJO VOL 1, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4880102002,SOPORTE CERT. BAJO VOL 2, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4880102004,SOPORTE CERT. BAJO VOL 4, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4880102005,SOPORTE CERT. BAJO VOL 5, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4880102006,SOPORTE CERT. BAJO VOL 6, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4880102007,SOPORTE CERT. BAJO VOL 6 MESES,6 MESES, , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4880103001,SOPORTE CERT. MEDIANO VOL 1, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4830402059,FIRMA ELECTRONICA VIGENCIA1 MES,1 MES,FIRMAS ELECTRONICAS, ,ARCHIVO
